poi_id;name;location_id;latitude;longitude;category;description
POI001;Etelä-Hervannan koulu;LOC_hervanta_bypass_area;61.4437;23.8510;Education;
POI002;Arkkitehdinkatu Bus Stop;LOC_hervanta_bypass_area;61.4410; 23.8470;Bus Stop;
POI003;Hervannan frisbeegolfrata;LOC_hervanta_bypass_area;61.4436;23.8662;Sport;
POI004;Tampere University, Hervanta Campus;LOC_hervanta_bypass_area;61.4502;23.8596;Education;
POI005;Etelä-Hervanta Tram Stop;LOC_hervanta_bypass_area;61.4429;23.8581;Tram Stop;
POI006;Hervannan kampus Tram Stop;LOC_hervanta_bypass_area;61.4474;23.8545;Tram Stop;
POI007;Tohtorinkatu;LOC_hervanta_bypass_area;61.4423;23.8581;Bus Stop;
POI008;Joutsenpuiston metsäalue;LOC_hervanta_bypass_area;61.4392;23.8701;Park;
POI009;Hervantajärven Helmi;LOC_hervanta_bypass_area;61.4395;23.8734;Parking;
POI010;Elementinpolku Bus Stop;LOC_hervanta_bypass_area;61.4444; 23.8587;Bus Stop;
POI011;Ahvenisjärven koulu;LOC_hervanta_bypass_area;61.4490;23.8599;Education;
POI012;Korkeakoulunkatu 2 Parking;LOC_hervanta_bypass_area;61.4490;23.8567;Parking;
POI013;Korkeakoulunkatu P-Area Parking;LOC_hervanta_bypass_area;61.4508;23.8562;Parking;
POI014;Tekniikankatu 8 Parking;LOC_hervanta_bypass_area;61.4512;23.8587;Parking;
POI015;Kauppakeskus Duo;LOC_hervanta_bypass_area;61.4509;23.8507;Shopping;
POI016;Hervantakeskus Bus Stop;LOC_hervanta_bypass_area;61.4513;23.8523;Bus Stop;
POI017;Tupakkikiven Parkki;LOC_hervanta_bypass_area;61.4510;23.8513;Parking;
POI018;Pizza-Kebab Heval;LOC_hervanta_bypass_area;61.4416;23.8521;Food;
POI019;Helapuisto Bus Stop;LOC_hervanta_bypass_area;61.4419;23.8516;Parking;
POI020;Mäkipuisto;LOC_hervanta_bypass_area;61.4425;23.8469;Park;
POI021;Duon Autopesu;LOC_hervanta_bypass_area;61.4511;23.8531;Car wash;
POI022;H-timantti Autojen Käsinpesu;LOC_hervanta_bypass_area;61.4600;23.8691;Car wash;
POI023;Tampereen tehopesu oy;LOC_hervanta_bypass_area;61.4499;23.8865;Car wash;
